Word,Count
game,4254
get,1503
time,1430
like,1268
cant,1085
even,992
play,936
app,908
ads,877
update,731
phone,684
really,678
please,671
would,668
bad,666
every,644
fix,622
back,622
want,553
level,552
money,548
annoying,548
still,545
also,541
make,537
work,536
new,509
ive,493
way,460
hate,456
need,427
never,425
give,424
much,422
fun,413
see,408
love,405
good,401
screen,400
worst,389
pay,386
playing,373
useless,373
dont,371
used,371
people,367
problem,353
hard,351
times,345
stars,342
try,340
waste,338
ever,334
open,333
got,330
account,330
could,327
slow,317
add,315
getting,312
know,311
well,310
using,309
many,308
keep,301
terrible,296
long,295
always,295
without,291
version,288
google,287
option,281
lot,280
since,277
games,275
stupid,272
tried,266
wrong,264
frustrating,262
levels,257
start,253
let,253
nothing,253
thing,251
takes,248
something,247
load,247
find,242
day,241
keeps,240
going,238
last,234
change,233
horrible,233
great,232
anything,227
sucks,227
trying,227
think,226
news,225
